Nombre;Precio (€)
Butiral Silence.;21.65
Puertatempladanormalizadaincolora.Medidas2090a2190mmde altoy 796a 896 mm de ancho.;360.28
Puertatempladanormalizadacolorgris,bronceoverde.Medida2090a2190mm de alto y 796 a 896 mm de ancho.;385.82
PuertatempladanormalizadaClarit.Medida2090a2190mmdealtoy796a896 mm de ancho.;451.27
Suministro y colocación de pernios alto y bajo para puertas templadas.;72.77
Suministro y colocación de cerradura con llave y pomo para puertas templadas.;76.62
Suministro y colocación de mecanismo de freno con caja y tapa para puertas templadas.;202.06
Tapa de mesa terminada de 60 cm de diámetro.;26.43
Tapa de mesa terminada de 70 cm de diámetro.;28.78
Tapa de mesa terminada de 80 cm de diámetro.;32.45
Tapa de mesa terminada de 90 cm de diámetro.;35.49
Tapa de mesa terminada de 100 cm de diámetro.;38.83
Tapa de mesa terminada de 110 cm de diámetro.;43.61
Tapa de mesa terminada de 120 cm de diámetro.;53.79
Tapa de mesa terminada de entre 61 y 69 cm de diámetro.;30.04
Tapa de mesa terminada de entre 71 y 79 cm de diámetro.;33.43
Tapa de mesa terminada de entre 81 y 89 cm de diámetro.;36.83
Tapa de mesa terminada de entre 91 y 99 cm de diámetro.;41.92
Tapa de mesa terminada de entre 101 y 109 cm de diámetro.;47.01
Tapa de mesa terminada de entre 111 y 119 cm de diámetro.;53.79
Velglas o vidrio antirreflejo de similares características. Espesor 2 mm.;39.54
Vimat o vidrio mate de similares características. Espesor 4/5 mm.;79.45
Neoceramovidrioresistentealcalorparachimeneasdesimilarescaracterísticas. Espesor 5 mm.;388.62
Vidrio lacado cualquier color. Espesor 4 mm.;70.6
Vidrio lacado cualquier color. Espesor 5-6 mm.;90.86
Baldosa pisable o baldosa grabada. Espesor 19 mm.;224.48
Intervención mínima con reposición de vidrio o vidrios. No incluye manufacturas.;24.84
Mateado de vidrio. Espesor 2 a 4 mm.;16.79
Mateado de vidrio. Espesor 5 a 8 mm.;20.6
Mateado de vidrio. Espesor 10 a 12 mm.;25.94
Mateado de vidrio. Espesor 15 a 19 mm.;51.42
Templado de vidrio. Espesor 4 a 5 mm.;28.7
Templado de vidrio. Espesor 6 a 8 mm.;43.05
Templado de vidrio. Espesor 10 a 12 mm.;69.96
Templado de vidrio. Espesor 15 a 19 mm.;98.67
Taladro en luna. Espesor hasta 6 mm.;5.23
Taladro en luna. Espesor de 8 a 12 mm.;7.11
Taladro en luna. Espesor 15 mm o mayor.;7.48
Taladro en vidrio armado.;11.21
Esquina ochava o roma pulida en luna. Espesor hasta 6 mm.;4.47
Esquina ochava o roma pulida en luna. Espesor de 8 a 12 mm.;6.14
Esquina ochava o roma pulida en luna. Espesor 15 mm o mayor.;9.63
Círculo para salida de tubo o extractor en cualquier tipo de vidrio.;12.73
Escuadra, cajeado o rejilla para ventilación en cualquier tipo de vidrio.;8.49
Uñero en vidrio. Espesor hasta 5 mm.;5.98
Uñero en vidrio. Espesor 6 mm o mayor.;11.39
Estría en vidrio. Espesor hasta 5 mm.;12.49
Estría en vidrio. Espesor 6 mm o mayor.;19.69
Curvadode vidrio paravitrinaexpositoradecomercio. Incluyemolde necesarioy curvado en horno. No incluye el vidrio ni otras manufacturas.;142.98
Curvado de vidrio para cualquier vidrio curvo excepto vitrina expositora. Incluye molde necesario y curvado en horno. No incluye el vidrio ni otras manufacturas.;238.65
Restauración vidriera emplomada de puerta, excepto pintura o tallas.;284.64
Restauración vidriera de latón de puerta, excepto pintura o tallas.;284.64
Talla al chorro de arena en vidrio de hasta 450 X 1000 mm.;266.24
Talla con relieves al chorro de arena en vidrio de hasta 450 X 1000 mm.;355.99
Línea al chorro de arena.;11.97
Pegado de espejo.;4.7
Intervención mínima sin reposición de vidrio, una sola visita.;16.44
Visita solicitada expresamente por MAPFRE para realizar valoración e informe.;21.19
Trabajo sin precio en tarifa, por horas de oficial.;22.92
